Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
sd	BAO	plus X	minus X	multiplied by X, times X	divided by X, 1/X, reciprocal of X	plus or minus X	X-Squared	X-Cubed	square-root of X	raised to the Xth power		
sḑ	GPA	alkane	alkene	alkyne	benzene, benzene derivatives	alkyl halide	alkyl fluoride	alkyl chloride	alkyl bromide	alkyl iodide	0	Functional Group A
šd	WBN	inhabiting or associated with islands	inhabiting or associated with offshore/shallow ocean dwelling	inhabiting or associated with the seashore/littoral	inhabiting or associated with estuaries/lagoons	inhabiting or associated with saltwater marshes	inhabiting or associated with freshwater lakes	inhabiting or associated with freshwater ponds	inhabiting or associated with rivers/riparian	inhabiting or associated with streams or brooks		
šḑ	GPC										0	Functional Group C
sf	GST	having the flavor of X	having an flavor like/similar to X	having an flavor reminiscent of X	having an flavor that has the same effect as X	having an flavor that has an effect similar to that of X	having both a flavor and aroma reminiscent of X	having both the flavor and aroma like/similar to X	having both the flavor and aroma of X	X’s flavor, the flavor which one tastes when one eats/chews/drinks/consumes X		
šf	CUA	Chinese 元 (人民币)	Russian ₽	British £	Canadian $	€	Indian ₹	Japanese ¥	Brazilian real	U.S. $		
sg	NDB	in base-2, binary	in base-3, ternary	in base-4, quaternary	in base-6, seximal	in base-8, octal	in base-12, dozenal	in base-16, hexadecimal	in base-20, vigesimal	in base-60, sexagesimal		
šg	OBN	inhabiting or associated with the intertidal zone	inhabiting or associated with a coral reef	inhabiting or associated with the neritic zone	inhabiting or associated with the pelagic zone	inhabiting or associated with seamount	inhabiting or associated with hydrothermal vents	inhabiting or associated with a cold seep	inhabiting or associated with the demersal zone	inhabiting or associated with the benthic zone		
šh	PPF	too lacking in proficiency, completely unpracticed in…	very lacking in proficiency, very poorly practiced	lacking in proficiency, poorly practice, needing much more practice	amateur(ishly)/superficially able to…/showing rudimentary practice only	begin(ning) to be able to…/with growing proficiency or expertise (in)	nearly proficient (in)	proficient(ly)	expert(ly)	too proficient(ly)/overly proficient/with too much expertise		
sj	HG1	technically speaking…/context aside for a moment,…	for all practical purposes/to all intents and purposes/practically /virtually/all but technically	sort of/kind of	strictly speaking ( = to put it in clinical terms…)	essentially/in essence/basically	(what) might as well be	in one sense	in some sense	par excellence		
šj	TMS	Planck temperature	in degrees Newton	in °C	in degrees Rankine	in kelvins	in degrees Delisle	in °F	in degrees Rømer	in degrees Réaumur		
sk	CNM	generic container(-ful) of X	natural or generic mass containment/formation (e.g., a loaf of bread, a lump of clay)	natural/inherent “container” of X, e.g., lake-basin, river-channel, blood-vessel, wheat field	pile of, heap of, load of X	(arranged) stack/column of X	satchel, pack of [= for personal conveyance/moving]	parcel/package containing X	X-ful of [+ Partitive], e.g., a roomful of clowns, a skyful of clouds, a treeful of leaves, a spoonful	embodiment/manifestation of abstract essence, e.g., a life form [= an embodiment of life]		
šk	SNX	physical tactile feeling/sensation of touching or being touched by X (being in physical/tactile contact with X)	other-than-tactile sensation of witnessing/undergoing/being in the situation involving X	physical feeling/sensation of undergoing/being in the situation involving X	emotional reaction to (visually and/or aurally) witnessing X	emotional reaction to undergoing X	subjective experience of (visually and/or aurally) witnessing X (emotional, physical and post-experiential contemplative reactions)	subjective experience of undergoing X (emotional, physical and post-experiential contemplative reactions)	subjective experience of being in the situation involving X (emotional, physical and post-experiential contemplative reactions)	post-experiential subjective assessment/contemplative reaction to having witnessed/undergone/being involved with X		
sļ	GPB										0	Functional Group B
šļ	GPD										0	Functional Group D
sm	FRC	too light(ly)/too soft(ly)/too delicate(ly)	light as a feather/ baby soft, extremely delicately or lightly or softly	light/soft/hardly a, softly/lightly/delicately/gingerly	somewhat on the light or soft side, somewhat softly/lightly/delicately/gingerly	neither soft(ly) nor forceful(ly), with just the right touch	somewhat violent(ly)/somewhat forceful(ly)	violent/forceful/rough, violently/with force/roughly	very violent(ly)/very forceful(ly)/very rough(ly)	too violent(ly)/too forceful(ly)/too rough(ly)		
šm	FRM	too casual/overly casual	very casual	casual	somewhat casual	neither too casual nor too formal, just the right degree of formality	somewhat formal	formal	very formal	too formal/overly formal		
sn	AAA	from ancient China	from ancient Japan	from ancient Korea	from ancient Taiwan	from East Asia	from modern Taiwan	from modern Korea	from modern Japan	from modern China		
sň	AAS	from ancient India, Pakistan, Bangladesh, Sri Lanka	from ancient Afghanistan	from ancient Nepal	from ancient Bhutan	from South Asia	from modern Bhutan	from modern Nepal	from modern Afghanistan	from modern India, Pakistan, Bangladesh, Sri Lanka		
šn	AAI	from ancient Vietnam, Laos, Cambodia	from ancient Thailand, Myanmar	from ancient Indonesia, Malaysia, Singapore, Brunei, Timor, Papua New Guinea	from ancient Philippines	from Southeast Asia/East Indies	from modern Philippines	from modern Indonesia, Malaysia, Singapore, Brunei, Timor, Papua New Guinea	from modern Thailand, Myanmar	from modern Vietnam, Laos, Cambodia		
šň	AAC	from ancient Tibet	from ancient Mongolia	from ancient Kazakhs, Kyrgyz, Uyghurs, Uzbeks, Tatars, Turkmen	from ancient Tajiks, Dari, Bukhori	from Central Asia	from modern Tajiks, Dari, Bukhori	from modern Kazakhs, Kyrgyz, Uyghurs, Uzbeks, Tatars, Turkmen	from modern Mongolia	from modern Tibet		
sp	NEW	new = original + new, i.e., never before seen	new = never before seen within current context, e.g., a new student	new=role,i.e.,never functioning/existing this capacity/manner before	new/other = replacement + new	new/other = additional instance + new	new/other = revision + additional	new/other = revision + replacement	new/other/different = different, not seen/used before within currentcontext; status as addition or replacement is unknown or inapplicable	new/other/different=different+new; status as addition or replacement is unknown or inapplicable	D1*	Newness/Revision
šp	VSR	red	orange	yellow	green	cyan/azure	blue	violet/purple	magenta	white/bright/light-gray		
sř	DPR	in total contact/contiguous mass of; pile, “ball of…” [(quasi-)permanent]	non-contiguous but closely connected, interlinked ,each linked to adjacent via connecting medium (e.g., a web, branches, vines); cluster[(quasi-)permanent]	not physically connected but with immediate accessibility and knowledge of other member actions [(quasi-)permanent]	“virtual” association only [(quasi-)permanent]	scattered/sporadic - contact with nearest member possible but less possible with others (e.g., a dialect chain)	“virtual” association only [temporary]	not physically connected but with immediate accessibility and knowledge of other member actions [temporary]	non-contiguous but closely connected, interlinked, each linked to adjacent via connecting medium (e.g., a web, branches, vines); cluster[temporary]	in total contact/contiguous mass of; pile, “ball of…” [temporary]		
šř	STS	spatial interpretation	spatial interpretation -- preceding X, in front of X	spatial interpretation -- at the exact spot of X	spatial interpretation -- after X, behind X	spatial & temporal interpretation	temporal interpretation -- after X	temporal interpretation -- at the moment of X	temporal interpretation -- preceding X, before X	temporal interpretation		
st	XX5	5th in physical arrangement	5th in agreed-upon order	5th in hierarchical order	5th	w/5 instances	w/5 or more instances	w/5 parts/sections	w/5 nodes/connections/points	w/5 hierarchical levels/tiers	0	Five
sţ	AVP	yet, still	‘even’ (e.g., “I don’t even like them”) = to the slightest extent contrary to expectation	Contemplative: upon reflection/ in hindsight	upon deep introspection/following careful consideration or meditation on the matter	on first blush/at first/upon initial impression/[my] first thought is/was…	natural(ly)/obvious(ly)/clear(ly) [in terms of naturalness, not blatancy]	clear (case of), clearly/certainly/indeed[in negative sentences = no way/at all]	as luck would have it/as it so happens…/it just so happens that…	moreover, and what is more…		
